              Procedure           Image            Address        Calls Instructions
        __wcsnlen_ifunc             fft             45bd20            1           11
__memset_sse2_unaligned_erms             fft             455d80            0          144
__memset_sse2_unaligned             fft             455d00            1           10
__memcpy_sse2_unaligned_erms             fft             454780            0          583
__memmove_sse2_unaligned             fft             454690            5          231
__mempcpy_sse2_unaligned             fft             454680           60          240
        __strcspn_sse42             fft             454280            2          107
          __strlen_sse2             fft             44d4b0           22          590
       __strchrnul_sse2             fft             44ce10           28          828
          __strchr_sse2             fft             44cbe0            2           96
        __memcmp_sse4_1             fft             439a20            1           22
        __strncmp_sse42             fft             437950            7          228
__strcmp_sse2_unaligned             fft             433020            5          185
      __strchrnul_ifunc             fft             431b60            1            8
      __rawmemchr_ifunc             fft             431ae0            1            8
     __new_memcpy_ifunc             fft             4319d0            1           19
   __strcasecmp_l_ifunc             fft             431980            1            6
         __stpcpy_ifunc             fft             431900            1            9
        __mempcpy_ifunc             fft             4317f0            1           19
           memset_ifunc             fft             4316f0            1           17
   __libc_memmove_ifunc             fft             4315e0            1           19
           memcmp_ifunc             fft             431540            1            9
    __libc_strstr_ifunc             fft             431520            1            6
          strncmp_ifunc             fft             430ca0            1           11
        __strnlen_ifunc             fft             430c30            1            8
           strlen_ifunc             fft             430bc0            1            8
                 strdup             fft             430b00            2           36
          strcspn_ifunc             fft             430ae0            1            6
           strcpy_ifunc             fft             430a60            1            9
           strcmp_ifunc             fft             4309e0            1            9
           strchr_ifunc             fft             430970            1           12
               __calloc             fft             42f870            1           71
          __libc_valloc             fft             42f290            7          287
                   free             fft             42e760            2           48
                 malloc             fft             42e420           10          432
          _int_memalign             fft             42e050            7          721
     tcache_init.part.0             fft             42dcd0            1          115
            _int_malloc             fft             42cd50           17         3148
              sysmalloc             fft             42c420            1          161
   ptmalloc_init.part.0             fft             42b830            1          843
              _int_free             fft             42adf0           16         1347
unlink_chunk.constprop.0             fft             42ab50            1           38
 __pthread_mutex_unlock             fft             428e30           10          232
   __pthread_mutex_lock             fft             427f50           10          367
   __pthread_mutex_init             fft             427620            1           30
__pthread_tunables_init             fft             427590            1           21
    __pthread_cond_init             fft             423e50            1           10
___pthread_cond_broadcast             fft             423af0            7          154
__libc_cleanup_pop_restore             fft             423860           15          120
__libc_cleanup_push_defer             fft             423820           15          150
   __libc_alloca_cutoff             fft             4237d0            2           22
            _IO_cleanup             fft             422390            1          139
    _IO_flush_all_lockp             fft             422120            1          107
     _IO_default_setbuf             fft             421ad0            1           50
         _IO_doallocbuf             fft             421410            1           25
               _IO_setb             fft             4213a0            1           24
             __overflow             fft             420f70           27          460
          _IO_file_sync             fft             420620            1           18
      _IO_file_overflow             fft             420400           40         1316
       _IO_new_do_write             fft             41f980           23         1311
        _IO_file_xsputn             fft             41efa0           56         6267
         _IO_file_write             fft             41e890           23          851
          _IO_file_stat             fft             41e880            1            3
    _IO_new_file_setbuf             fft             41dc70            1           14
                putchar             fft             41b4a0            5          220
                   puts             fft             41b150            5          355
               _IO_padn             fft             41b010           10          470
    __vfprintf_internal             fft             4176a0           13         5284
             _IO_printf             fft             4144b0           13          393
      __drand48_iterate             fft             4135d0         2048        40960
              srand48_r             fft             4135a0            1            9
            __erand48_r             fft             413530         2048        63488
                srand48             fft             413520            1            3
                drand48             fft             4134d0         2048        30720
           __cxa_atexit             fft             4133f0            1           36
           __new_exitfn             fft             413200            1           32
                   exit             fft             4131e0            1            8
    __run_exit_handlers             fft             412f80            1           76
                 getenv             fft             412e90            8         1904
                _setjmp             fft             412610            1            3
       __libc_setup_tls             fft             40c700            1          149
      __libc_start_main             fft             40b170            1          807
update_active.constprop.0             fft             40acc0            1          170
handle_intel.constprop.0             fft             40abd0           12          596
intel_check_word.constprop.0             fft             40a8d0           26         5283
get_common_cache_info.constprop.0             fft             40a4c0            1          212
get_common_indices.constprop.0             fft             40a330            1           62
 __libc_start_call_main             fft             40a290            1           22
              call_fini             fft             40a250            1           18
              __cos_avx             fft             409540         1056        98033
              __sin_avx             fft             408c50         1056        99154
            __cos_ifunc             fft             4065f0            1           12
            __sin_ifunc             fft             406580            1           12
              FFT1DOnce             fft             404e37           64       625728
                Reverse             fft             404ceb           64        78784
              Transpose             fft             4047dd            3       167397
          TwiddleOneCol             fft             4045ca           32        81440
                  FFT1D             fft             4039fa            1         3109
             BitReverse             fft             4039b1         2048       145408
                 InitU2             fft             403865            1        56817
                  InitU             fft             403708            1         2038
                  InitX             fft             40363f            1        28146
             TouchArray             fft             4033be            1        72095
             SlaveStart             fft             402d7f            1         1344
                   main             fft             401845            1          460
            frame_dummy             fft             401810            1           11
  __do_global_dtors_aux             fft             4017d0            1           14
     register_tm_clones             fft             401790            1            9
   deregister_tm_clones             fft             401760            1            4
_dl_relocate_static_pie             fft             401750            1            2
                 _start             fft             401720            1           12
                   .plt             fft             401020            0         4492
                  _init             fft             401000            1            7
