              Procedure           Image            Address        Calls Instructions
        __isoc99_sscanf       libc.so.6       7f627be302d0           13          650
        __isoc99_fscanf       libc.so.6       7f627be30200           17          425
            __printf_fp       libc.so.6       7f627be2b5a0           12           84
                cuserid       libc.so.6       7f627be281d0            0         1268
              strtoimax       libc.so.6       7f627be154e0       282376      1411880
      __strtol_internal       libc.so.6       7f627be154c0           13           52
              getrandom       libc.so.6       7f627be14c70            1            9
       __call_tls_dtors       libc.so.6       7f627be13d60            1           12
         __cxa_finalize       libc.so.6       7f627be139a0            3          168
           __cxa_atexit       libc.so.6       7f627be138c0            1           39
                on_exit       libc.so.6       7f627be13610            0           32
                   exit       libc.so.6       7f627be135f0            1            8
                 getenv       libc.so.6       7f627be12b70            1          245
                _setjmp       libc.so.6       7f627be101e0            1            3
            __sigsetjmp       libc.so.6       7f627be10110            1           31
      __libc_start_main       libc.so.6       7f627bdf7dc0            1           40
                  _init       libc.so.6       7f627bdf7c30            1           31
               .plt.sec       libc.so.6       7f627bdf6390            0        72476
               .plt.got       libc.so.6       7f627bdf6370            2           10
                   .plt       libc.so.6       7f627bdf6000            0            3
                  _fini libpthread.so.0       7f627c040108            1            4
            frame_dummy libpthread.so.0       7f627c0400f0            1            2
  __do_global_dtors_aux libpthread.so.0       7f627c0400b0            1           13
     register_tm_clones libpthread.so.0       7f627c040070            1           10
   deregister_tm_clones libpthread.so.0       7f627c040040            1            5
               .plt.got libpthread.so.0       7f627c040030            1            2
                  _init libpthread.so.0       7f627c040000            1            7
                  .fini       libm.so.6       7f627c1758e8            1            4
          __sqrt_finite       libm.so.6       7f627c116510            1            3
                   sqrt       libm.so.6       7f627c0fd820            1            5
                  .text       libm.so.6       7f627c0fa3a0            0           30
               .plt.got       libm.so.6       7f627c0fa1e0            1            2
                  _init       libm.so.6       7f627c0fa000            1            7
    __vdso_gettimeofday          [vdso]       7ffdbf571610            3          189
    _dl_catch_exception ld-linux-x86-64.so.2       7f6290211300            7          245
      _dl_audit_preinit ld-linux-x86-64.so.2       7f629020f680            1            5
      __tunable_get_val ld-linux-x86-64.so.2       7f629020bdd0           35          719
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f62902084f0            1          102
        _dl_debug_state ld-linux-x86-64.so.2       7f62901f7300            2            4
                  .text ld-linux-x86-64.so.2       7f62901f6090            0           24
               .plt.sec ld-linux-x86-64.so.2       7f62901f6050            7           14
                  _fini        CHOLESKY       5596399b8898            1            4
        __libc_csu_init        CHOLESKY       5596399b8820            1           41
       parmacs_shutdown        CHOLESKY       5596399b880f            1            6
          parmacs_setup        CHOLESKY       5596399b8804            1            6
        parmacs_roi_end        CHOLESKY       5596399b8758            1           15
      parmacs_roi_begin        CHOLESKY       5596399b8720            1           15
               MyMalloc        CHOLESKY       5596399b8410           44         5162
              MyFreeNow        CHOLESKY       5596399b8330            2           46
                 MyFree        CHOLESKY       5596399b8220            9          750
             MigrateMem        CHOLESKY       5596399b8210            4            8
             MallocInit        CHOLESKY       5596399b8110            1           28
        InitOneFreeList        CHOLESKY       5596399b8020            2           86
             ReadSparse        CHOLESKY       5596399b76d0            1      9375201
            LowerToFull        CHOLESKY       5596399b7270            1      9017571
                  Value        CHOLESKY       5596399b7080       844125      4225125
              NewVector        CHOLESKY       5596399b7030            1           10
             FreeMatrix        CHOLESKY       5596399b6fe0            1           16
        ComputeWorkTree        CHOLESKY       5596399b6df0            2        46568
         FindSupernodes        CHOLESKY       5596399b6c40            1        20298
              ComputeNZ        CHOLESKY       5596399b6ab0            1      9433917
          ParentToChild        CHOLESKY       5596399b69c0            2        37616
   EliminationTreeFromA        CHOLESKY       5596399b6810            1     15174265
            ComposePerm        CHOLESKY       5596399b6790            1         5282
           PlaceDomains        CHOLESKY       5596399b6650            1         3818
                     Go        CHOLESKY       5596399b61c0            1          163
      CreatePermutation        CHOLESKY       5596399b6130            2         2310
             NoSegments        CHOLESKY       5596399b6070            1          975
 ComputeTargetBlockSize        CHOLESKY       5596399b5ed0            1           74
          FindMaxHeight        CHOLESKY       5596399b5e30          750        33729
              Partition        CHOLESKY       5596399b5630            1         4076
             AddInOrder        CHOLESKY       5596399b54c0            1            8
    MarkSubtreeAsDomain        CHOLESKY       5596399b5220            1         9051
         FactorLLDomain        CHOLESKY       5596399b4700            1         7657
     CompleteSupernodeB        CHOLESKY       5596399b4270            1      1498538
     ModifyBySupernodeB        CHOLESKY       5596399b36d0          375       562172
  ModifyTwoBySupernodeB        CHOLESKY       5596399b2800        70500    177431436
        CompleteColumnB        CHOLESKY       5596399b2490          750       879719
            TaskWaiting        CHOLESKY       5596399b2320            1           10
         InitTaskQueues        CHOLESKY       5596399b2100            1           34
        BNumericSolveFO        CHOLESKY       5596399b2020            1         3057
        DriveParallelFO        CHOLESKY       5596399b1d70            1           48
      ComputeReceivedFO        CHOLESKY       5596399b0ee0            1         7553
           PreProcessFO        CHOLESKY       5596399b0e90            1           18
        InitRemainingFO        CHOLESKY       5596399b0dd0            1         4513
     ComputeRemainingFO        CHOLESKY       5596399b0ad0            1        12045
          CheckReceived        CHOLESKY       5596399b0a20            1           38
         CheckRemaining        CHOLESKY       5596399b0940            1         6026
          PreAllocateFO        CHOLESKY       5596399afe80            1         4663
         PreAllocate1FO        CHOLESKY       5596399afd90            1           50
   CreateBlockedMatrix2        CHOLESKY       5596399aee90            1        29691
              DumpSizes        CHOLESKY       5596399aed70            2        12116
              SortByKey        CHOLESKY       5596399aed00            1            7
                BlDepth        CHOLESKY       5596399aecc0            1           16
               FillInNZ        CHOLESKY       5596399aebb0            1        14288
                 FillIn        CHOLESKY       5596399ae820          750     10455374
             AllocateNZ        CHOLESKY       5596399ae6e0            1         7523
        FillInStructure        CHOLESKY       5596399ae450            1          120
  FindDetailedStructure        CHOLESKY       5596399ae110            1           30
     FindSuperStructure        CHOLESKY       5596399add90            2     12426092
FindDummyDomainStructure        CHOLESKY       5596399ad960            1           31
       FindDomStructure        CHOLESKY       5596399ad8b0            1      2546647
    ComputeBlockParents        CHOLESKY       5596399ad680            1         7543
           CreateVector        CHOLESKY       5596399ad520            1      6756037
        AssignBlocksNow        CHOLESKY       5596399a8550            1         6016
             InvertPerm        CHOLESKY       5596399a8160            2        16566
            Amalgamate2        CHOLESKY       5596399a7a90            1        10090
          FixNodeNZAndT        CHOLESKY       5596399a78c0            1        23326
          ReorderMatrix        CHOLESKY       5596399a77e0            2         7575
          ConsiderMerge        CHOLESKY       5596399a7470            1           46
            frame_dummy        CHOLESKY       5596399a72d0            1            2
  __do_global_dtors_aux        CHOLESKY       5596399a7290            1           13
     register_tm_clones        CHOLESKY       5596399a7250            1           10
   deregister_tm_clones        CHOLESKY       5596399a7220            1            5
                 _start        CHOLESKY       5596399a71f0            1           12
                   main        CHOLESKY       5596399a6480            1         6656
               .plt.sec        CHOLESKY       5596399a6260           27       600754
               .plt.got        CHOLESKY       5596399a6250            1            2
                  _init        CHOLESKY       5596399a6000            1            7
